symbol	chr	ucsc_chr	loc_start	fullname	GO
1110002E23Rik	17	chr17	47824140	hypothetical protein LOC66119	NA
1110002H13Rik	2	chr2	26917707	hypothetical protein LOC66139	NA
1110002N22Rik	11	chr11	79950337	hypothetical protein LOC68550	NA
1110003E01Rik	5	chr5	65841643	hypothetical protein LOC68552	GO:0016021,GO:0016020
1110004E09Rik	16	chr16	90926216	hypothetical protein LOC68001	NA
1110004F10Rik	7	chr7	123236976	small acidic protein	GO:0005575,GO:0003674,GO:0008150
1110005A03Rik	11	chr11	116705004	hypothetical protein LOC74319	GO:0016021,GO:0016020
1110005A23Rik	10	chr10	128258974	cytokine induced protein 29 kDa	NA
1110006G06Rik	7	chr7	29937613	hypothetical protein LOC73833	NA
1110006O17Rik	18	chr18	35873079	hypothetical protein LOC68545	NA
1110007A13Rik	7	chr7	135841957	hypothetical protein LOC210711	GO:0008150,GO:0005575,GO:0003674
1110007C09Rik	13	chr13	49298488	RIKEN cDNA 1110007C09	GO:0005634,GO:0042981,GO:0005515,GO:0005622
1110007L15Rik	5	chr5	139738438	hypothetical protein LOC67604	GO:0008150,GO:0005575,GO:0003674
1110007M04Rik	4	chr4	24825313	RIKEN cDNA 1110007M04	NA
1110008F13Rik	2	chr2	156689039	RAB5-interacting protein	GO:0005739
1110008I14Rik	9	chr9	18299961	18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1110008I14 product:hypothetical SEA domain containing protein, full insert sequence.	NA
1110008J03Rik	5	chr5	121059478	hypothetical protein LOC100764	NA
1110008L16Rik	12	chr12	56404894	Mus musculus 18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1110008L16 product:RIKEN cDNA 1110008L16 gene, full insert sequence.	GO:0008033,GO:0005739
1110008P14Rik	2	chr2	32234880	hypothetical protein LOC73737	NA
1110012D08Rik	10	chr10	128238150	hypothetical protein LOC73827	NA
1110012J17Rik	17	chr17	66687299	hypothetical protein LOC68617	NA
1110012L19Rik	X	chrX	67641088	hypothetical protein LOC68618	NA
1110012M11Rik	8	chr8	74066872	hypothetical protein LOC73711	NA
1110012N22Rik	11	chr11	120508397	RIKEN cDNA 1110012N22 gene.	NA
1110013L07Rik	3	chr3	88987645	hypothetical protein LOC68521	NA
1110014J01Rik	15	chr15	82947315	hypothetical protein LOC74778	NA
1110014K08Rik	11	chr11	116295622	hypothetical protein LOC319370	NA
1110014N23Rik	19	chr19	6068114	hypothetical protein LOC68505	GO:0015031,GO:0005794,GO:0006810,GO:0006869
1110015M06Rik	12	chr12	29123312	18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1110015M06 product:hypothetical Doublecortin containing protein, full insert sequence.	GO:0007242
1110017D15Rik	4	chr4	41452600	testes development-related NYD-SP22 isoform 1	GO:0005737,GO:0043014,GO:0048471,GO:0043623
1110017I16Rik	2	chr2	4897297	hypothetical protein LOC68527	NA
1110018G07Rik	12	chr12	86264797	hypothetical protein LOC68497	GO:0008150,GO:0005575,GO:0003674,GO:0019941
1110018H23Rik	17	chr17	25257795	1110018H23Rik protein.	GO:0046872,GO:0005509,GO:0005576
1110018J18Rik	13	chr13	64393408	hypothetical protein LOC66129	NA
1110018J23Rik	19	chr19	53751897	13 days embryo heart cDNA, RIKEN full-length enriched library, clone:D330005I06 product:hypothetical RNA-binding region RNP-1 (RNA recognition motif)/Proline-rich region profile/Eukaryotic RNA Recognition Motif (RRM) profile/Zn-finger, C2H2 type containing protein, full insert sequence. (Fragment).	NA
1110018M03Rik	2	chr2	110202298	hypothetical protein LOC67606	NA
1110019J04Rik	4	chr4	45118481	hypothetical protein LOC68512	NA
1110019K23Rik	5	chr5	91360343	methylenetetrahydrofolate dehydrogenase (NADP+	NA
1110019N10Rik	8	chr8	107163888	hypothetical protein LOC68523	NA
1110020C03Rik	4	chr4	118227300	hypothetical protein LOC68625	NA
1110020G09Rik	15	chr15	9001250	hypothetical protein LOC68646 isoform 2	GO:0005739,GO:0003951,GO:0008152
1110020P15Rik	11	chr11	4602178	ubiquinol-cytochrome c reductase complex	GO:0005739,GO:0005739,GO:0005739,GO:0005743
1110021J02Rik	17	chr17	29834519	Mus musculus 18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1110021J02 product:hypothetical protein, full insert sequence.	GO:0016021,GO:0016020
1110028A07Rik	14	chr14	56194518	Cg10671 like	NA
1110028C15Rik	1	chr1	66847618	hypothetical protein LOC68691	GO:0008150,GO:0005575,GO:0003674
1110029E03Rik	4	chr4	43592265	hypothetical protein LOC242406	NA
1110031B06Rik	11	chr11	59221165	hypothetical protein LOC67826	NA
1110031I02Rik	11	chr11	121039115	hypothetical protein LOC66179	GO:0016021,GO:0016020,GO:0016702,GO:0005506,GO:0005506,GO:0046872,GO:0055114,GO:0055114,GO:0016491,GO:0031418,GO:0016705
1110032A03Rik	9	chr9	50571960	hypothetical protein LOC68721	GO:0005634,GO:0005634
1110032A04Rik	3	chr3	69624793	hypothetical protein LOC66183	GO:0016021,GO:0016020,GO:0005783
1110032A13Rik	18	chr18	80389218	hypothetical protein LOC68731	NA
1110032E23Rik	3	chr3	79690148	hypothetical protein LOC68659	GO:0005794,GO:0016021,GO:0016020
1110032O16Rik	7	chr7	134035104	hypothetical protein LOC68742	NA
1110033F04Rik	11	chr11	99495834	hypothetical protein LOC68673	NA
1110033J19Rik	6	chr6	148303231	RIKEN cDNA 1110033J19 gene (17 days embryo head cDNA, RIKEN full- length enriched library, clone:3300002H24 product:Similar to ribosomal protein S4, X-linked, full insert sequence).	NA
1110033M05Rik	13	chr13	77973845	6 days neonate spleen cDNA, RIKEN full-length enriched library, clone:F430007J04 product:hypothetical Endoplasmic reticulum targeting sequence containing protein, full insert sequence.	NA
1110034A24Rik	12	chr12	70290874	hypothetical protein LOC109065	GO:0005737,GO:0005515,GO:0005575,GO:0003674,GO:0042221,GO:0032526
1110034B05Rik	1	chr1	57445339	hypothetical protein LOC68736	NA
1110034G24Rik	2	chr2	132517689	18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1110034G24 product:hypothetical protein, full insert sequence (RIKEN cDNA 1110034G24 gene).	NA
1110036O03Rik	11	chr11	100270435	synaptonemal complex protein SC65	NA
1110037F02Rik	4	chr4	11413189	hypothetical protein LOC66185	GO:0005634,GO:0008380,GO:0006397
1110038D17Rik	10	chr10	74971622	hypothetical protein LOC68778	NA
1110038F14Rik	15	chr15	76779238	hypothetical protein LOC117171	NA
1110039B18Rik	5	chr5	31172040	hypothetical protein LOC68796	NA
1110049B09Rik	12	chr12	33719784	hypothetical protein LOC68764	GO:0016021,GO:0016020,GO:0016020,GO:0005509,GO:0005509,GO:0005515,GO:0005886,GO:0007155,GO:0007156
1110049F12Rik	4	chr4	135532275	thioredoxin family Trp26	NA
1110051B16Rik	14	chr14	27082252	hypothetical protein LOC278672	NA
1110051M20Rik	2	chr2	91118939	hypothetical protein LOC228356	NA
1110054O05Rik	4	chr4	59785235	hypothetical protein LOC66209	GO:0006974,GO:0005634,GO:0006281
1110054P19Rik	11	chr11	99526625	hypothetical protein LOC68768	NA
1110057K04Rik	12	chr12	8227407	hypothetical protein LOC68832	NA
1110058L19Rik	1	chr1	24003089	hypothetical protein LOC68002	GO:0005576,GO:0005739
1110059E24Rik	19	chr19	21672679	RIKEN cDNA 1110059E24	NA
1110059G10Rik	9	chr9	122857011	hypothetical protein LOC66202	NA
1110059H15Rik	2	chr2	69841439	Zfp650 protein.	NA
1110061O04Rik	6	chr6	113210619	Adult male testis cDNA, RIKEN full-length enriched library, clone:4931410B12 product:hypothetical Tyrosine specific protein phosphatase and dual specificity protein phosphatase containing protein, full insert sequence.	NA
1110064P04Rik	11	chr11	23390397	16 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:9630019N10 product:hypothetical protein, full insert sequence.	NA
1110067D22Rik	11	chr11	20726374	hypothetical protein LOC216551	GO:0005529,GO:0005529
1110067I12Rik	19	chr19	8926149	hypothetical protein LOC68852	NA
1190002A17Rik	2	chr2	28555710	hypothetical protein LOC68870	NA
1190002H23Rik	14	chr14	79688918	response gene to complement 32	GO:0005634,GO:0005515,GO:0030295,GO:0007049,GO:0005856,GO:0005737
1190002N15Rik	9	chr9	94420733	hypothetical protein LOC68861	GO:0005576
1190003J15Rik	7	chr7	148021519	HIU hydrolase	GO:0005777,GO:0016787,GO:0005739,GO:0006144,GO:0006810,GO:0033971,GO:0008150
1190003M12Rik	6	chr6	87333429	hypothetical protein LOC68888	NA
1190005F20Rik	1	chr1	153276006	N2,N2-dimethylguanosine tRNA	GO:0008270,GO:0008270,GO:0003723,GO:0005622,GO:0005575,GO:0003674,GO:0046872,GO:0007610,GO:0004809,GO:0008033,GO:0030534,GO:0008344
1190005I06Rik	8	chr8	123132871	RIKEN cDNA 1190005I06	NA
1190005P17Rik	10	chr10	119665036	hypothetical protein LOC66225	NA
1190017O12Rik	16	chr16	92305630	hypothetical protein LOC68936	NA
1190020J12Rik	7	chr7	29329150	hypothetical protein LOC233038	NA
1200002N14Rik	10	chr10	87787485	damage-regulated autophagy modulator	NA
1200003C05Rik	12	chr12	73187166	JNK1-associated membrane protein	NA
1200003I07Rik	8	chr8	72230230	hypothetical protein LOC66869	NA
1200004M23Rik	19	chr19	5852620	hypothetical protein LOC67457	NA
1200009F10Rik	10	chr10	90545871	IKK interacting protein isoform 2	GO:0005783,GO:0016021,GO:0016020,GO:0005515,GO:0010165,GO:0006917
1200009I06Rik	12	chr12	112660289	hypothetical protein LOC74190	NA
1200009O22Rik	6	chr6	53767799	hypothetical protein LOC66873	GO:0016021,GO:0016020,GO:0005515
1200011I18Rik	14	chr14	76490334	hypothetical protein LOC67467	NA
1200011M11Rik	11	chr11	86891454	hypothetical protein LOC74133	GO:0000184
1200011O22Rik	5	chr5	136599044	hypothetical protein LOC71735	NA
1200013B08Rik	X	chrX	45499837	hypothetical protein LOC74131	NA
1200013P24Rik	16	chr16	3894374	hypothetical protein LOC74763	NA
1200014J11Rik	11	chr11	72878539	ELG protein	NA
1200014M14Rik	13	chr13	97161552	hypothetical protein LOC67463	GO:0008150,GO:0005575,GO:0042802,GO:0005515
1200015A19Rik	4	chr4	153532479	hypothetical protein LOC67808	NA
1200015F23Rik	2	chr2	118963437	hypothetical protein LOC67809	NA
1200015N20Rik	10	chr10	69903761	hypothetical protein LOC71721	NA
1200016B10Rik	1	chr1	153215588	hypothetical protein LOC66875	NA
1300001I01Rik	11	chr11	74463096	hypothetical protein LOC74148	GO:0005488
1300002K09Rik	4	chr4	45861949	hypothetical protein LOC74152	NA
1300003B13Rik	17	chr17	22588089	hypothetical protein LOC74149	NA
1300007F04Rik	11	chr11	77328700	hypothetical protein LOC67477	NA
1300010F03Rik	14	chr14	79249090	Adult male cecum cDNA, RIKEN full-length enriched library, clone:9130206H04 product:hypothetical P-loop containing nucleotide triphosphate hydrolases structure containing protein, full insert sequence.	GO:0005576,GO:0005524,GO:0005524,GO:0005739,GO:0000166,GO:0000166,GO:0017111,GO:0016887
1300010M03Rik	11	chr11	100959476	hypothetical protein LOC67998 isoform 2	NA
1300012G16Rik	5	chr5	120937383	hypothetical protein LOC71772	NA
1300014I06Rik	13	chr13	34720639	hypothetical protein LOC66895	GO:0035091,GO:0007154,GO:0005515
1300017J02Rik	9	chr9	103152957	hypothetical protein LOC71775	GO:0004857,GO:0008150,GO:0005575
1300018I05Rik	17	chr17	29800121	hypothetical protein LOC74157	NA
1300018I17Rik	8	chr8	125766255	Mus musculus adult male liver cDNA, RIKEN full-length enriched library, clone:1300018I17 product:similar to COILED-COIL PROTEIN [Homo sapiens], full insert sequence.	NA
1300018J18Rik	15	chr15	88919538	selenoprotein O	GO:0008430
1500001A10Rik	5	chr5	116894576	hypothetical protein LOC68955	NA
1500001M20Rik	6	chr6	114954460	MMP37-like protein, mitochondrial	GO:0015031,GO:0006810,GO:0055085,GO:0005739,GO:0005739
1500002O20Rik	7	chr7	25188416	hypothetical protein LOC71997	GO:0000184
1500003O03Rik	2	chr2	119373586	calcium binding protein P22	GO:0005737,GO:0046872,GO:0005509,GO:0005509,GO:0005575,GO:0008150
1500003O22Rik	7	chr7	112881537	hypothetical protein LOC101867	NA
1500005A01Rik	14	chr14	56203511	hypothetical protein LOC85308	NA
1500005I02Rik	11	chr11	114652761	hypothetical protein LOC72014	NA
1500010J02Rik	11	chr11	68829634	hypothetical protein LOC68964 isoform a	GO:0016021,GO:0016020
1500011B03Rik	5	chr5	115259254	Adult male cerebellum cDNA, RIKEN full-length enriched library, clone:1500011B03 product:similar to Histocompatibility 2, class II antigen E beta.	NA
1500011H22Rik	5	chr5	122814803	hypothetical protein LOC68948	NA
1500012F01Rik	2	chr2	166890687	hypothetical protein LOC68949	NA
1500015O10Rik	1	chr1	43787729	esophageal cancer related gene 4 protein	NA
1500016O10Rik	7	chr7	133956196	Mus musculus adult male spinal cord cDNA, RIKEN full-length enriched library, clone:A330104J06 product:unclassifiable, full insert sequence.	NA
1500019G21Rik	7	chr7	4612372	hsp70-interacting protein	NA
1500031I19Rik	7	chr7	134162752	hypothetical protein LOC69017	NA
1500031L02Rik	16	chr16	32104003	hypothetical protein LOC66994	NA
1500032D16Rik	17	chr17	31657158	NADH-ubiquinone oxidoreductase flavoprotein 3	NA
1500032L24Rik	15	chr15	82176513	hypothetical protein LOC69029	GO:0016021,GO:0016020,GO:0005739
1500034J01Rik	8	chr8	73993221	Bone marrow macrophage cDNA, RIKEN full-length enriched library, clone:G530111L19 product:hypothetical protein, full insert sequence. (Fragment).	NA
1500035H01Rik	9	chr9	44586679	hypothetical protein LOC76568	GO:0060286,GO:0035084,GO:0031647,GO:0031512,GO:0005515,GO:0043234,GO:0005932,GO:0009434,GO:0015031,GO:0020017,GO:0043064,GO:0030092
1500041B16Rik	11	chr11	16952172	hypothetical protein LOC380686	NA
1500041N16Rik	8	chr8	87599092	mitogen-activated protein kinase organizer 1	GO:0005737,GO:0005634,GO:0008380,GO:0005681,GO:0006397
1520401A03Rik	17	chr17	23849199	hypothetical protein LOC320309	NA
1600002H07Rik	17	chr17	24352803	hypothetical protein LOC72016	NA
1600002K03Rik	10	chr10	79635710	hypothetical protein LOC69770	NA
1600002O04Rik	12	chr12	109544620	hypothetical protein LOC214305	NA
1600012F09Rik	13	chr13	18081213	hypothetical protein LOC67008	NA
1600012H06Rik	17	chr17	15080617	hypothetical protein LOC67912	GO:0005576
1600012P17Rik	1	chr1	160898996	Adult female placenta cDNA, RIKEN full-length enriched library, clone:1600012P17 product:hypothetical protein, full insert sequence.	NA
1600014C10Rik	7	chr7	38973635	hypothetical protein LOC72244	GO:0016021,GO:0016020
1600014C23Rik	17	chr17	45869973	Adult female placenta cDNA, RIKEN full-length enriched library, clone:1600014C23 product:hypothetical protein, full insert sequence.	NA
1600014E20Rik	2	chr2	131681570	Adult female placenta cDNA, RIKEN full-length enriched library, clone:1600014E20 product:hypothetical protein, full insert sequence (RIKEN cDNA 1600014E20 gene).	NA
1600014K23Rik	X	chrX	82514951	Adult female placenta cDNA, RIKEN full-length enriched library, clone:1600014K23 product:weakly similar to ferritin heavy chain 2 (Hypothetical protein).	NA
1600015H20Rik	2	chr2	128689808	extracellular matrix protein TM14	NA
1600015I10Rik	6	chr6	48880084	hypothetical protein LOC69761	NA
1600016N20Rik	7	chr7	148395971	hypothetical protein LOC72000	NA
1600021P15Rik	16	chr16	28827830	hypothetical protein LOC239796	NA
1600027N09Rik	2	chr2	180317512	MRG-binding protein	GO:0006350,GO:0045449,GO:0045449,GO:0016568,GO:0043189,GO:0040008,GO:0005634,GO:0005634
1600029D21Rik	9	chr9	50302667	placenta expressed transcript 1	GO:0016021,GO:0016020
1600029I14Rik	9	chr9	99371156	Adult female placenta cDNA, RIKEN full-length enriched library, clone:1600029I14 product:hypothetical protein, full insert sequence.	NA
1700001C02Rik	5	chr5	30768483	hypothetical protein LOC75434	NA
1700001C19Rik	17	chr17	47550510	hypothetical protein LOC75462	NA
1700001E04Rik	14	chr14	6956282	hypothetical protein LOC75438	NA
1700001F09Rik	14	chr14	44021199	hypothetical protein LOC71826	NA
1700001G17Rik	1	chr1	33726928	Adult male small intestine cDNA, RIKEN full-length enriched library, clone:2010106K18 product:hypothetical protein, full insert sequence (Adult male small intestine cDNA, RIKEN full-length enriched library, clone:2010013K13 product:hypothetical protein, full insert sequence) (Adult male testis cDNA, RIKEN full-length enriched library, clone:1700001G17 product:hypothetical protein, full insert sequence).	NA
1700001J03Rik	5	chr5	146994109	hypothetical protein LOC69282	NA
1700001K19Rik	12	chr12	111906016	RIKEN cDNA 1700001K19 gene.	NA
1700001L19Rik	13	chr13	68736352	Adult male testis cDNA, RIKEN full-length enriched library, clone:1700001L19 product:hypothetical protein, full insert sequence (RIKEN cDNA 1700001L19 gene) (Adult male hypothalamus cDNA, RIKEN full-length enriched library, clone:A230088F07 product:hypothetical protein, full insert sequence).	NA
1700001O22Rik	2	chr2	30651214	hypothetical protein LOC73598	NA
1700001P01Rik	11	chr11	97632890	hypothetical protein LOC72215	NA
1700003E16Rik	6	chr6	83111739	1700003E16Rik protein.	NA
1700003F12Rik	2	chr2	154374677	hypothetical protein LOC75480	NA
1700003M02Rik	4	chr4	34658629	hypothetical protein LOC69329	NA
1700006A11Rik	3	chr3	124104307	Adult male testis cDNA, RIKEN full-length enriched library, clone:4930535E05 product:hypothetical RhoGAP domain/Rho GTPase- activating proteins domain profile/Rho GTPase activation protein containing protein, full insert sequence.	NA
1700006E09Rik	11	chr11	101848427	Adult male testis cDNA, RIKEN full-length enriched library, clone:1700006E09 product:hypothetical protein, full insert sequence (RIKEN cDNA 1700006E09 gene).	NA
1700007B13Rik	7	chr7	126630237	Adult male testis cDNA, RIKEN full-length enriched library, clone:1700007B13 product:hypothetical Thioredoxin-like structure containing protein, full insert sequence.	NA
1700007B14Rik	8	chr8	78078789	RIKEN cDNA 1700007B14 gene.	NA
1700007G11Rik	5	chr5	98758372	hypothetical protein LOC75784	NA
1700007I06Rik	11	chr11	32422794	hypothetical protein LOC69306	NA
1700007K09Rik	7	chr7	138469612	hypothetical protein LOC69318	GO:0005576
1700007K13Rik	2	chr2	28317765	hypothetical protein LOC69327	NA
1700007N14Rik	14	chr14	64714780	Adult male testis cDNA, RIKEN full-length enriched library, clone:1700007N14 product:hypothetical Serine proteases, trypsin family containing protein, full insert sequence.	NA
1700008A04Rik	11	chr11	32720493	Adult male testis cDNA, RIKEN full-length enriched library, clone:1700008A04 product:hypothetical protein, full insert sequence (OTTMUSP00000005565).	GO:0016021,GO:0016020
1700008F21Rik	8	chr8	131660487	hypothetical protein LOC75453	NA
1700008G05Rik	3	chr3	10246001	similar to Myelin P2 protein	NA
1700008I05Rik	X	chrX	132189431	t-complex 11 protein	NA
1700008P02Rik	3	chr3	6617298	Adult male testis cDNA, RIKEN full-length enriched library, clone:1700008P02 product:hypothetical protein, full insert sequence.	NA
1700008P20Rik	7	chr7	25118221	Adult male testis cDNA, RIKEN full-length enriched library, clone:1700008P20 product:hypothetical protein, full insert sequence (RIKEN cDNA 1700008P20 gene).	GO:0005509
1700009J07Rik	10	chr10	77356164	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:1700009J07 product:unclassifiable, full insert sequence.	NA
1700009N14Rik	4	chr4	39397828	hypothetical protein LOC75471	GO:0005575,GO:0019904,GO:0008150
1700009P17Rik	1	chr1	173053297	hypothetical protein LOC75472	NA
1700010A17Rik	2	chr2	35905048	hypothetical protein LOC75495	NA
1700010C24Rik	15	chr15	71276329	hypothetical protein LOC70363	NA
1700010D01Rik	X	chrX	92928051	hypothetical protein LOC76386	NA
1700010H22Rik	5	chr5	98993215	Adult male testis cDNA, RIKEN full-length enriched library, clone:1700010H22 product:hypothetical protein, full insert sequence.	NA
1700010I14Rik	17	chr17	9181261	hypothetical protein LOC66931	NA
1700010M22Rik	2	chr2	144649478	hypothetical protein LOC66328	GO:0008152,GO:0005498,GO:0016491
1700011A15Rik	15	chr15	101278282	hypothetical protein LOC66322	GO:0005882
1700011E24Rik	17	chr17	87788935	Adult male testis cDNA, RIKEN full-length enriched library, clone:1700011E24 product:hypothetical protein, full insert sequence.	NA
1700011F03Rik	6	chr6	70863257	hypothetical protein LOC74221	GO:0005634
1700011F14Rik	19	chr19	58586847	hypothetical protein LOC75645	NA
1700011H14Rik	14	chr14	49846240	hypothetical protein LOC67082	NA
1700011I03Rik	18	chr18	57693506	Adult male testis cDNA, RIKEN full-length enriched library, clone:1700011I03 product:hypothetical protein, full insert sequence.	NA
1700011L22Rik	8	chr8	81734548	Adult male testis cDNA, RIKEN full-length enriched library, clone:1700011L22 product:hypothetical protein, full insert sequence.	NA
1700012A03Rik	6	chr6	32001634	hypothetical protein LOC76382	NA
1700012A16Rik	1	chr1	155272353	hypothetical protein LOC71836	NA
1700012B07Rik	11	chr11	109650027	Adult male testis cDNA, RIKEN full-length enriched library, clone:4930518P14 product:hypothetical protein, full insert sequence.	NA
1700012B09Rik	9	chr9	14562894	hypothetical protein LOC69325	NA
1700012B15Rik	12	chr12	3235512	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:1700007N07 product:hypothetical protein, full insert sequence.	NA
1700012G19Rik	17	chr17	24607454	hypothetical protein LOC67078	NA
1700012H17Rik	4	chr4	5725730	hypothetical protein LOC242297	NA
1700012L04Rik	X	chrX	8860984	histone variant H2al1	GO:0005634,GO:0003677,GO:0005694,GO:0000786
1700012P22Rik	4	chr4	144008306	RIKEN cDNA 1700012P22 gene.	NA
1700013B16Rik	13	chr13	59801662	hypothetical protein LOC72219	NA
1700013D24Rik	6	chr6	124297715	RIKEN cDNA 1700013D24 gene.	NA
1700013E18Rik	3	chr3	154376849	Adult male testis cDNA, RIKEN full-length enriched library, clone:4922501L14 product:hypothetical Serine-rich region containing protein, full insert sequence.	NA
1700013F07Rik	3	chr3	108340536	Adult male testis cDNA, RIKEN full-length enriched library, clone:1700013F07 product:hypothetical protein, full insert sequence (RIKEN cDNA 1700013F07 gene).	NA
1700013G24Rik	4	chr4	137010450	hypothetical protein LOC69380	NA
1700013H16Rik	X	chrX	51046342	Adult male testis cDNA, RIKEN full-length enriched library, clone:1700013H16 product:hypothetical protein, full insert sequence.	NA
1700013N18Rik	5	chr5	108259503	Adult male testis cDNA, RIKEN full-length enriched library, clone:1700013N18 product:UBIQUITIN-CONJUGATING ENZYME E2-17 kDa 4 (EC 6.3.2.19) (UBIQUITIN- PROTEIN LIGASE) (UBIQUITIN CARRIER PROTEIN) (E2(17)KB 4) homolog (Adult male testis cDNA, RIKEN full-length enriched library, clone:4933403P17 product:Ubiquitin-conjugating enzyme E2-17 kDa 4 (EC 6.3.2.19) (Ubiquitin- protein ligase) (Ubiquitin carrier protein) (E2(17)KB 4) homolog) (RIKEN cDNA 1700013N18 gene).	GO:0043687,GO:0016874,GO:0019941,GO:0005524,GO:0000166,GO:0019787,GO:0051246,GO:0004842,GO:0008150,GO:0005575,GO:0003674
1700014N06Rik	X	chrX	133461902	Adult male testis cDNA, RIKEN full-length enriched library, clone:1700014N06 product:HISTONE H2B, full insert sequence (RIKEN cDNA 1700014N06 gene).	GO:0005634,GO:0003677,GO:0005694,GO:0000786
