symbol	chr	ucsc_chr	loc_start	fullname	GO
AASDH	4	4	57204567	aminoadipate-semialdehyde dehydrogenase	GO:0000036,GO:0000166,GO:0005524,GO:0006629,GO:0006631,GO:0016874,GO:0016878,GO:0048037
AASDHPPT	11	11	105948437	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	GO:0000287,GO:0005515,GO:0005737,GO:0005829,GO:0006766,GO:0006767,GO:0008897,GO:0008897,GO:0015939,GO:0016740,GO:0009059
AASS	7	7	121716542	aminoadipate-semialdehyde synthase	GO:0005488,GO:0005737,GO:0005739,GO:0005739,GO:0005759,GO:0005759,GO:0006554,GO:0006554,GO:0016491,GO:0019477,GO:0034641,GO:0043231,GO:0047130,GO:0047131,GO:0047131,GO:0051262
AATF	17	17	35306425	apoptosis antagonizing transcription factor	GO:0003700,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005730,GO:0005737,GO:0005737,GO:0005794,GO:0005813,GO:0005925,GO:0006351,GO:0006915,GO:0006916,GO:0006974,GO:0007155,GO:0007346,GO:0008624,GO:0019904,GO:0032929,GO:0040016,GO:0042254,GO:0042985,GO:0043522,GO:0043522,GO:0045944,GO:0048011,GO:0048011,GO:0048156,GO:2000378
AATK	17	17	79092201	apoptosis-associated tyrosine kinase	GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0000166,GO:0004674,GO:0004713,GO:0005524,GO:0005737,GO:0005739,GO:0006468,GO:0016020,GO:0016021,GO:0048471
ABAT	16	16	8829596	4-aminobutyrate aminotransferase	GO:0001666,GO:0003867,GO:0003867,GO:0005515,GO:0005739,GO:0005739,GO:0005759,GO:0007268,GO:0007268,GO:0007269,GO:0007610,GO:0007620,GO:0007626,GO:0009450,GO:0010039,GO:0016740,GO:0019717,GO:0030170,GO:0032144,GO:0032145,GO:0035094,GO:0042135,GO:0042493,GO:0042803,GO:0045471,GO:0045776,GO:0047298,GO:0048148
ABCA1	9	9	107546595	ATP-binding cassette, sub-family A (ABC1), member 1	GO:0000166,GO:0002790,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005524,GO:0005543,GO:0005548,GO:0005624,GO:0005794,GO:0005886,GO:0005886,GO:0005887,GO:0006497,GO:0006629,GO:0006810,GO:0006820,GO:0006911,GO:0007040,GO:0007186,GO:0008202,GO:0008203,GO:0008509,GO:0010745,GO:0010875,GO:0010887,GO:0015485,GO:0016197,GO:0016887,GO:0017127,GO:0030139,GO:0030349,GO:0030819,GO:0031267,GO:0032367,GO:0032488,GO:0033344,GO:0033344,GO:0033344,GO:0033700,GO:0033700,GO:0033700,GO:0034185,GO:0034186,GO:0034186,GO:0034188,GO:0034380,GO:0034380,GO:0042157,GO:0042157,GO:0042632,GO:0043691,GO:0044255,GO:0045121,GO:0045332,GO:0045335,GO:0050702,GO:0055091,GO:0060155,GO:0071222,GO:0071300
ABCA10	17	17	67144967	ATP-binding cassette, sub-family A (ABC1), member 10	GO:0000166,GO:0005524,GO:0006810,GO:0016020,GO:0016021,GO:0016887
ABCA11P	4	4	467998	ATP-binding cassette, sub-family A (ABC1), member 11 (pseudogene)	NA
ABCA12	2	2	215797357	ATP-binding cassette, sub-family A (ABC1), member 12	GO:0000166,GO:0005524,GO:0006810,GO:0006869,GO:0016020,GO:0016021,GO:0016887,GO:0019725
ABCA13	7	7	48211080	ATP-binding cassette, sub-family A (ABC1), member 13	GO:0000166,GO:0005524,GO:0006810,GO:0016020,GO:0016021,GO:0016887
ABCA17	16	16	2476700	NA	NA
ABCA2	9	9	139902380	ATP-binding cassette, sub-family A (ABC1), member 2	GO:0000166,GO:0005524,GO:0005524,GO:0005764,GO:0005765,GO:0005768,GO:0005815,GO:0006200,GO:0006357,GO:0006629,GO:0006810,GO:0006810,GO:0016020,GO:0016021,GO:0016021,GO:0016021,GO:0016023,GO:0016887,GO:0032383,GO:0042493,GO:0042626,GO:0042632,GO:0043190,GO:0048545
ABCA3	16	16	2326674	ATP-binding cassette, sub-family A (ABC1), member 3	GO:0000166,GO:0005215,GO:0005524,GO:0005624,GO:0005886,GO:0006810,GO:0016021,GO:0016887,GO:0042493,GO:0042599,GO:0042626
ABCA4	1	1	94458792	ATP-binding cassette, sub-family A (ABC1), member 4	GO:0000166,GO:0005215,GO:0005524,GO:0005624,GO:0005887,GO:0006810,GO:0007601,GO:0007603,GO:0016020,GO:0016887,GO:0042626,GO:0050896
ABCA5	17	17	67243677	ATP-binding cassette, sub-family A (ABC1), member 5	GO:0000139,GO:0000166,GO:0005524,GO:0005764,GO:0005765,GO:0005770,GO:0005794,GO:0006810,GO:0010745,GO:0016020,GO:0016021,GO:0016887,GO:0031902,GO:0033344,GO:0034375,GO:0043691
ABCA6	17	17	67075113	ATP-binding cassette, sub-family A (ABC1), member 6	GO:0000166,GO:0005524,GO:0006810,GO:0016020,GO:0016021,GO:0016887
ABCA7	19	19	1041360	ATP-binding cassette, sub-family A (ABC1), member 7	GO:0000139,GO:0000166,GO:0005215,GO:0005524,GO:0005768,GO:0005794,GO:0005886,GO:0006909,GO:0010008,GO:0016021,GO:0016887,GO:0043190,GO:0055085,GO:0055085
ABCA8	17	17	66864225	ATP-binding cassette, sub-family A (ABC1), member 8	GO:0000166,GO:0005524,GO:0005886,GO:0006810,GO:0016021,GO:0016887,GO:0042626
ABCA9	17	17	66972055	ATP-binding cassette, sub-family A (ABC1), member 9	GO:0000166,GO:0005524,GO:0005739,GO:0006810,GO:0016020,GO:0016021,GO:0016887
ABCB1	7	7	87133558	ATP-binding cassette, sub-family B (MDR/TAP), member 1	GO:0000139,GO:0000166,GO:0005215,GO:0005515,GO:0005515,GO:0005524,GO:0005624,GO:0006810,GO:0008559,GO:0009986,GO:0016020,GO:0016021,GO:0016324,GO:0016787,GO:0016887,GO:0042493,GO:0042626,GO:0046581,GO:0055085
ABCB10	1	1	229653925	ATP-binding cassette, sub-family B (MDR/TAP), member 10	GO:0000166,GO:0005215,GO:0005524,GO:0005739,GO:0005743,GO:0005886,GO:0006810,GO:0015421,GO:0016021,GO:0016887,GO:0032592,GO:0042626,GO:0042803,GO:0055085
ABCB11	2	2	169780131	ATP-binding cassette, sub-family B (MDR/TAP), member 11	GO:0000139,GO:0000166,GO:0005215,GO:0005524,GO:0005624,GO:0005886,GO:0005887,GO:0006699,GO:0006699,GO:0006810,GO:0008206,GO:0008554,GO:0015126,GO:0015432,GO:0015721,GO:0015722,GO:0016021,GO:0016324,GO:0016887,GO:0042626,GO:0046581,GO:0055085
ABCB4	7	7	87031411	ATP-binding cassette, sub-family B (MDR/TAP), member 4	GO:0000139,GO:0000166,GO:0005524,GO:0005624,GO:0005886,GO:0005887,GO:0006629,GO:0006810,GO:0008559,GO:0016021,GO:0016324,GO:0016787,GO:0016887,GO:0042493,GO:0042626,GO:0044255,GO:0046581,GO:0051384,GO:0055085
ABCB5	7	7	20691045	ATP-binding cassette, sub-family B (MDR/TAP), member 5	GO:0000139,GO:0000166,GO:0005524,GO:0005886,GO:0005887,GO:0015562,GO:0016324,GO:0016887,GO:0042391,GO:0042626,GO:0046581,GO:0055085
ABCB6	2	2	220074659	ATP-binding cassette, sub-family B (MDR/TAP), member 6	GO:0000166,GO:0005524,GO:0005739,GO:0005739,GO:0005740,GO:0005741,GO:0005774,GO:0005794,GO:0005886,GO:0006779,GO:0006810,GO:0006879,GO:0015086,GO:0015439,GO:0015562,GO:0015886,GO:0015886,GO:0016021,GO:0016887,GO:0020037,GO:0031307,GO:0043190,GO:0055085,GO:0070574,GO:0071585
ABCB7	X	X	74273204	ATP-binding cassette, sub-family B (MDR/TAP), member 7	GO:0000166,GO:0005524,GO:0005737,GO:0005739,GO:0005743,GO:0005743,GO:0006810,GO:0006879,GO:0015232,GO:0015886,GO:0015886,GO:0016020,GO:0016021,GO:0016887,GO:0042626,GO:0055085,GO:0055085,GO:0055085
ABCB8	7	7	150725602	ATP-binding cassette, sub-family B (MDR/TAP), member 8	GO:0000166,GO:0005215,GO:0005524,GO:0005624,GO:0005739,GO:0005740,GO:0005743,GO:0006810,GO:0016020,GO:0016021,GO:0016887,GO:0042626,GO:0043190,GO:0055085
ABCB9	12	12	123414457	ATP-binding cassette, sub-family B (MDR/TAP), member 9	GO:0000166,GO:0001916,GO:0002474,GO:0005524,GO:0005743,GO:0005765,GO:0005765,GO:0005765,GO:0005769,GO:0005783,GO:0005789,GO:0005886,GO:0015031,GO:0015421,GO:0015440,GO:0015440,GO:0015833,GO:0015833,GO:0016021,GO:0016887,GO:0022891,GO:0030176,GO:0030176,GO:0042288,GO:0042605,GO:0042803,GO:0042803,GO:0042825,GO:0046978,GO:0046979,GO:0046980,GO:0055085
ABCC1	16	16	16043608	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	GO:0000166,GO:0005215,GO:0005524,GO:0005624,GO:0005634,GO:0005730,GO:0005794,GO:0005886,GO:0005886,GO:0005887,GO:0006200,GO:0006692,GO:0006810,GO:0016787,GO:0016887,GO:0019370,GO:0042446,GO:0042493,GO:0042626,GO:0055085
ABCC10	6	6	43399847	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	GO:0000166,GO:0005524,GO:0005886,GO:0016021,GO:0016887,GO:0042626,GO:0055085
ABCC11	16	16	48201184	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	GO:0000166,GO:0005524,GO:0016020,GO:0016021,GO:0016887,GO:0042626,GO:0055085
ABCC12	16	16	48117625	ATP-binding cassette, sub-family C (CFTR/MRP), member 12	GO:0000166,GO:0005524,GO:0005739,GO:0016020,GO:0016021,GO:0016887,GO:0042626,GO:0055085
ABCC13	21	21	15663706	ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene	GO:0005524,GO:0005634,GO:0016020,GO:0016021,GO:0042626,GO:0055085
ABCC2	10	10	101542601	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	GO:0000166,GO:0005524,GO:0005624,GO:0005887,GO:0006810,GO:0008514,GO:0015711,GO:0016020,GO:0016324,GO:0016887,GO:0046581,GO:0005215,GO:0055085,GO:0042626
ABCC3	17	17	48712297	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	GO:0000166,GO:0005215,GO:0005524,GO:0005624,GO:0005886,GO:0005887,GO:0006810,GO:0008206,GO:0008514,GO:0015432,GO:0015711,GO:0015721,GO:0016887,GO:0042626,GO:0055085
ABCC4	13	13	95673828	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	GO:0000166,GO:0002576,GO:0005254,GO:0005524,GO:0005624,GO:0005886,GO:0006811,GO:0007596,GO:0008150,GO:0015662,GO:0016021,GO:0016404,GO:0016887,GO:0030168,GO:0031088,GO:0031088,GO:0042626,GO:0055085
ABCC5	3	3	183639087	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	GO:0000166,GO:0005524,GO:0005624,GO:0005887,GO:0006810,GO:0008514,GO:0015711,GO:0016020,GO:0016887,GO:0032496,GO:0032868,GO:0048471,GO:0055085,GO:0042626
ABCC6	16	16	16243989	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	GO:0000166,GO:0005215,GO:0005524,GO:0005886,GO:0006810,GO:0007601,GO:0016021,GO:0016887,GO:0042493,GO:0050896,GO:0055085,GO:0042626
ABCC6P1	16	16	18609607	ATP-binding cassette, sub-family C, member 6 pseudogene 1	NA
ABCC8	11	11	17414537	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	GO:0000166,GO:0004872,GO:0005267,GO:0005524,GO:0005886,GO:0005975,GO:0006112,GO:0006813,GO:0008281,GO:0009268,GO:0010043,GO:0015079,GO:0016021,GO:0016887,GO:0019905,GO:0030672,GO:0032496,GO:0032868,GO:0042383,GO:0042493,GO:0042626,GO:0043268,GO:0046676,GO:0050796,GO:0055085,GO:0071805
ABCC9	12	12	21953977	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	GO:0000166,GO:0004872,GO:0005215,GO:0005524,GO:0006813,GO:0008281,GO:0008282,GO:0010107,GO:0015459,GO:0016020,GO:0016021,GO:0016887,GO:0042626,GO:0051607,GO:0055085
ABCD1	X	X	152990721	ATP-binding cassette, sub-family D (ALD), member 1	GO:0000166,GO:0005215,GO:0005325,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005524,GO:0005739,GO:0005777,GO:0005778,GO:0005778,GO:0005778,GO:0005779,GO:0005829,GO:0007031,GO:0015910,GO:0015919,GO:0016020,GO:0016021,GO:0016887,GO:0033540,GO:0042626,GO:0042802,GO:0044255,GO:0055085,GO:0055085
ABCD2	12	12	39947713	ATP-binding cassette, sub-family D (ALD), member 2	GO:0000166,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005524,GO:0005739,GO:0005777,GO:0005778,GO:0005887,GO:0006631,GO:0006810,GO:0016020,GO:0016887,GO:0043190
ABCD3	1	1	94884034	ATP-binding cassette, sub-family D (ALD), member 3	GO:0000166,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005524,GO:0005739,GO:0005739,GO:0005743,GO:0005777,GO:0005777,GO:0005778,GO:0005778,GO:0005779,GO:0005829,GO:0007031,GO:0015910,GO:0016020,GO:0016021,GO:0016887,GO:0042493,GO:0042626,GO:0043231,GO:0043621,GO:0055085,GO:0055085
ABCD4	14	14	74753163	ATP-binding cassette, sub-family D (ALD), member 4	GO:0000166,GO:0005215,GO:0005524,GO:0005777,GO:0005778,GO:0006810,GO:0016020,GO:0016021,GO:0016887,GO:0042626,GO:0043190,GO:0055085
ABCE1	4	4	146025564	ATP-binding cassette, sub-family E (OABP), member 1	GO:0000166,GO:0005524,GO:0005737,GO:0005739,GO:0006401,GO:0008428,GO:0009615,GO:0016887,GO:0044419,GO:0051536,GO:0009055
ABCF1	6	6	30539264	ATP-binding cassette, sub-family F (GCN20), member 1	GO:0045727,GO:0043022,GO:0043022,GO:0042788,GO:0042254,GO:0008494,GO:0006413,GO:0005737,GO:0005654,GO:0005635,GO:0005524,GO:0005515,GO:0000166,GO:0005524,GO:0005634,GO:0005635,GO:0005654,GO:0005737,GO:0005840,GO:0006412,GO:0006954,GO:0008135,GO:0016887
ABCF2	7	7	150905156	ATP-binding cassette, sub-family F (GCN20), member 2	GO:0000166,GO:0005215,GO:0005524,GO:0005740,GO:0006810,GO:0016887,GO:0043190
ABCF3	3	3	183903995	ATP-binding cassette, sub-family F (GCN20), member 3	GO:0000166,GO:0005524,GO:0016887
ABCG1	21	21	43621785	ATP-binding cassette, sub-family G (WHITE), member 1	GO:0000139,GO:0000166,GO:0005524,GO:0005543,GO:0005548,GO:0005768,GO:0005783,GO:0005789,GO:0005794,GO:0005886,GO:0005886,GO:0005887,GO:0006355,GO:0006629,GO:0006810,GO:0008203,GO:0009720,GO:0009897,GO:0010033,GO:0010745,GO:0010872,GO:0010875,GO:0010887,GO:0015485,GO:0015914,GO:0016887,GO:0017127,GO:0019534,GO:0032367,GO:0033344,GO:0033700,GO:0033993,GO:0034041,GO:0034374,GO:0034375,GO:0034436,GO:0034437,GO:0042157,GO:0042157,GO:0042632,GO:0042803,GO:0042987,GO:0043531,GO:0043691,GO:0045542,GO:0046982,GO:0046983,GO:0055037,GO:0055091,GO:0055099
ABCG2	4	4	89013385	ATP-binding cassette, sub-family G (WHITE), member 2	GO:0000166,GO:0005215,GO:0005215,GO:0005515,GO:0005524,GO:0005886,GO:0006810,GO:0006879,GO:0008559,GO:0015232,GO:0015886,GO:0016021,GO:0016887,GO:0042493,GO:0042626,GO:0042803,GO:0046415,GO:0046415,GO:0046415,GO:0055085
ABCG4	11	11	119020675	ATP-binding cassette, sub-family G (WHITE), member 4	GO:0000166,GO:0005524,GO:0006810,GO:0016020,GO:0016021,GO:0016887,GO:0033344,GO:0042803,GO:0046982
ABCG5	2	2	44040254	ATP-binding cassette, sub-family G (WHITE), member 5	GO:0000166,GO:0005515,GO:0005515,GO:0005524,GO:0005886,GO:0006200,GO:0006629,GO:0006810,GO:0007584,GO:0007588,GO:0010212,GO:0010949,GO:0015918,GO:0016021,GO:0016324,GO:0016887,GO:0017127,GO:0030299,GO:0033344,GO:0042493,GO:0042632,GO:0045796,GO:0046982
ABCG8	2	2	44066192	ATP-binding cassette, sub-family G (WHITE), member 8	GO:0005524,GO:0005886,GO:0006200,GO:0006629,GO:0006810,GO:0007588,GO:0010949,GO:0015914,GO:0015918,GO:0016021,GO:0016324,GO:0016887,GO:0017127,GO:0030299,GO:0033344,GO:0042632,GO:0045796,GO:0046982
ABHD1	2	2	27346816	abhydrolase domain containing 1	GO:0003674,GO:0004091,GO:0008150,GO:0016020,GO:0016021,GO:0016787
ABHD10	3	3	111697908	abhydrolase domain containing 10	GO:0005739,GO:0008233,GO:0008236
ABHD11	7	7	73153184	abhydrolase domain containing 11	GO:0003674,GO:0005575,GO:0005739,GO:0008150,GO:0016787
ABHD12	20	20	25275608	abhydrolase domain containing 12	GO:0007601,GO:0016020,GO:0016021,GO:0016787,GO:0047372,GO:0050896
ABHD12B	14	14	51345551	abhydrolase domain containing 12B	GO:0016787
ABHD13	13	13	108881566	abhydrolase domain containing 13	GO:0016020,GO:0016021,GO:0016787
ABHD14A	3	3	52009151	abhydrolase domain containing 14A	GO:0005737,GO:0016020,GO:0016021,GO:0016787
ABHD14B	3	3	52003441	abhydrolase domain containing 14B	GO:0005634,GO:0005737,GO:0016787
ABHD15	17	17	27889578	abhydrolase domain containing 1-like	GO:0004091,GO:0005576,GO:0016787
ABHD16A	6	6	31654726	abhydrolase domain containing 16A	GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0016020,GO:0016021,GO:0016787
ABHD16B	20	20	62492566	abhydrolase domain containing 16B	GO:0016787
ABHD2	15	15	89659558	abhydrolase domain containing 2	GO:0003674,GO:0004091,GO:0008150,GO:0009611,GO:0016020,GO:0016021,GO:0016787,GO:0030336
ABHD3	18	18	19231551	abhydrolase domain containing 3	GO:0003674,GO:0004091,GO:0005575,GO:0008150,GO:0016020,GO:0016021,GO:0016787
ABHD4	14	14	23067215	abhydrolase domain containing 4	GO:0016042,GO:0016787
ABHD5	3	3	43732484	abhydrolase domain containing 5	GO:0003841,GO:0004806,GO:0005737,GO:0005811,GO:0005829,GO:0006629,GO:0006631,GO:0006654,GO:0008415,GO:0008654,GO:0010891,GO:0010898,GO:0016740,GO:0019433,GO:0030154,GO:0042171,GO:0051006
ABHD6	3	3	58242313	abhydrolase domain containing 6	GO:0016020,GO:0016021,GO:0016787,GO:0047372
ABHD8	19	19	17403469	abhydrolase domain containing 8	GO:0016787
ABI1	10	10	27037498	abl-interactor 1	GO:0001756,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005622,GO:0005625,GO:0005634,GO:0005737,GO:0005783,GO:0005829,GO:0005856,GO:0006928,GO:0007169,GO:0008092,GO:0008154,GO:0008285,GO:0018108,GO:0019717,GO:0030027,GO:0030027,GO:0030054,GO:0030175,GO:0030296,GO:0030426,GO:0045202
ABI2	2	2	204193237	abl-interactor 2	GO:0003677,GO:0005737,GO:0005829,GO:0005829,GO:0005856,GO:0006928,GO:0007010,GO:0008093,GO:0008154,GO:0016477,GO:0017124,GO:0017124,GO:0018108,GO:0019900,GO:0030027,GO:0030175,GO:0031625,GO:0070064
ABI3	17	17	47288086	ABI family, member 3	GO:0005515,GO:0005622,GO:0005737,GO:0005737,GO:0006928,GO:0018108,GO:0030027,GO:0030334
ABI3BP	3	3	100469338	ABI family, member 3 (NESH) binding protein	GO:0005518,GO:0005576,GO:0005614,GO:0005615,GO:0008201,GO:0010811,GO:0030198,GO:0031012
